lp,Imie I nazwisko,lista,data urodzenia,Zawód,dom powierzchnia,dom wartosc,Mieszkanie lub dom 1 powierzchnia,Mieszkanie lub dom 1 wartosc,Mieszkanie 2 powierzchnia,Mieszkanie 2 wartosc,Mieszkanie 3 powierzchnia,Mieszkanie 3 wartosc,Mieszkanie 4 powierzchnia,Mieszkanie 4 wartosc,Mieszkanie 5 powierzchnia,Mieszkanie 5 wartosc,suma wartosci wszystkich domow lub mieszkan,suma powierzchni,cena za metr
93,Elżbieta Gelert,Koalicja Obywatelska,22-04-1955,menedżer,137,900000,,,,,,,,,,,900000,137,6569.3
94,Anna Gembicka,Prawo i Sprawiedliwość,07-11-1991,"prawnik, wyższy urzędnik państwowy",101,420000,38,570000,,,,,,,,,990000,139,7122.3
95,Artur Daniel Gierada,Koalicja Obywatelska,21-04-1979,politolog,109,1000000,35.5,250000,,,,,,,,,1250000,144.5,8650.5
96,Roman Giertych,Koalicja Obywatelska,27-02-1971,adwokat,60.02,1500000,,,,,,,,,,,1500000,60.02,24991.7
97,Włodzisław Giziński,Koalicja Obywatelska,19-10-1952,,380,0,,,,,,,,,,,0,380,0.0
98,Szymon Giżyński,Prawo i Sprawiedliwość,08-03-1956,urzędnik państwowy,120,550000,73.2,420000,,,,,,,,,970000,193.2,5020.7
99,Piotr Gliński,Prawo i Sprawiedliwość,20-04-1954,pracownik naukowo-dydaktyczny,400,3000000,58,450000,,,,,,,,,3450000,458,7532.8
100,Tomasz Głogowski,Koalicja Obywatelska,30-12-1974,nauczyciel akademicki,199,400000,110,300000,,,,,,,,,700000,309,2265.4
101,Piotr Głowski,Koalicja Obywatelska,22-07-1967,ekonomista,400,1400000,55,200000,,,,,,,,,1600000,455,3516.5
102,Marta Golbik,Koalicja Obywatelska,14-04-1985,przedsiębiorca prywatny,300,1200000,,,,,,,,,,,1200000,300,4000.0
103,Małgorzata Golińska,Prawo i Sprawiedliwość,30-10-1980,leśnik,157.44,930000,59.57,320000,27.51,180000,,,,,,,1430000,244.52,5848.2
104,Kazimierz Gołojuch,Prawo i Sprawiedliwość,05-02-1964,parlamentarzysta,114,400000,,,,,,,,,,,400000,114,3508.8
105,Adam Gomoła,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,20-01-1999,specjalista ds. rozwoju i promocji,,,,,,,,,,,,,0,0,#DIV/0!
106,Robert Gontarz,Prawo i Sprawiedliwość,02-07-1993,"ekonomista, matematyk, parlamentarzysta",,,,,,,,,,,,,0,0,#DIV/0!
107,Stanisław Gorczyca,Koalicja Obywatelska,27-07-1958,biolog,374,1500000,36,400000,32.6,450000,,,,,,,2350000,442.6,5309.5
108,Daria Gosek-Popiołek,Nowa Lewica,16-04-1985,pracownik samorządowy,,,70,390000,,,,,,,,,390000,70,5571.4
109,Mariusz Gosek,Prawo i Sprawiedliwość,20-08-1982,pedagog,,,42,300000,,,,,,,,,300000,42,7142.9
110,Piotr Górnikiewicz,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,09-07-1972,ekonomista,,,84,590000,,,,,,,,,590000,84,7023.8
111,Agnieszka Górska,Prawo i Sprawiedliwość,01-01-1976,ekonomista,100,450000,128,500000,,,,,,,,,950000,228,4166.7
112,Krzysztof Grabczuk,Koalicja Obywatelska,22-04-1962,nauczyciel akademicki,189,450000,57,300000,,,,,,,,,750000,246,3048.8
113,Jan Grabiec,Koalicja Obywatelska,02-11-1972,urzędnik państwowy,121,600000,239.85,70000,,,,,,,,,670000,360.85,1856.7
114,Marcin Grabowski,Prawo i Sprawiedliwość,06-04-1981,pracownik administracji państwowej,115,500000,32.3,100000,43.65,170000,42.88,580000,,,,,1350000,233.83,5773.4
115,Michał Gramatyka,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,08-10-1971,radca prawny,210,700000,,,,,,,,,,,700000,210,3333.3
116,Małgorzata Gromadzka,Koalicja Obywatelska,24-03-1985,pracownik administracji samorządowej,120,450000,,,,,,,,,,,450000,120,3750.0
117,Marek Gróbarczyk,Prawo i Sprawiedliwość,13-03-1968,inżynier mechanik,145,300000,72,550000,37,220000,45,236538,49,257562,89,630000,2194100,437,5020.8
118,Barbara Grygorcewicz,Koalicja Obywatelska,27-09-1963,nauczyciel,121,700000,56,350000,64,400000,,,,,,,1450000,241,6016.6
119,Andrzej Grzyb,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,23-08-1956,"ekonomista, inżynier ogrodnik",240,500000,,,,,,,,,,,500000,240,2083.3
120,Andrzej Gut-Mostowy,Prawo i Sprawiedliwość,30-10-1960,ekonomista,340,2000000,,,,,,,,,,,2000000,340,5882.4
121,Kazimierz Gwiazdowski,Prawo i Sprawiedliwość,10-06-1962,rolnik,220,310000,,,,,,,,,,,310000,220,1409.1
122,Marcin Gwóźdź,Prawo i Sprawiedliwość,14-12-1977,inżynier,124,320000,54.87,140000,,,,,,,,,460000,178.87,2571.7
123,Marek Gzik,Koalicja Obywatelska,03-09-1971,nauczyciel akademicki,137,800000,,,,,,,,,,,,,
